id,Sci-Fi,Crime,Romance,Animation,Music,Comedy,War,Horror,Film-Noir,Adventure,News,Western,Thriller,Adult,Mystery,Short,Talk-Show,Drama,Action,Documentary,Musical,History,Family,Reality-TV,Fantasy,Game-Show,Sport,Biography,title-text
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,__100_000 Name That Tune_ (1984) A short-lived quiz show hosted by TV veteran Jim Lange Husband-and-wife teams would compete against each other in answering a tough series of trivia questions The winning couple would then go on to the championship round where they would have a chance to win one million dollars Two married couples sometimes including a returning champion competed in one of the first game shows to offer 1 million as a grand prize In 1000000 Chance of a Lifetime which combined elements of Wheel of Fortune and Scrabble the couples competed to solve word puzzles Up to six clues were given for the puzzles solution one member of each team was selected to try to guess each clue word with letters inserted at random except for the last one Each correct guess was worth 25 and allowed the contestant to go to the keyboard The keyboard indicated which letters were in the puzzle plus one stinger an extra letter not in the puzzle selecting the stinger meant the contestant lost hisher turn and a new clue was played Each selected letter revealed in the puzzle added 25 to the pot the team that solves the puzzle won the pot Three rounds were played with the second round values of 50 per cluepuzzle letter and third round values of 100 each The team with the most money after three rounds was champion kept their winnings and advanced to the bonus round In the bonus round the couple selected a category from a choice of three and then are locked in an isolation booth The couple has 60 seconds to guess six words associated with that category For each successful bonus round win the couple was given a cash prize 5000 on day 1 10000 on day 2 or they could give it back and continue always at risk of losing a subsequent bonus round and thus having to leave the show Only by winning three bonus rounds in a row did the couple win the 1 million grand prize The 1 million was awarded as all cash during the spring 1986 season and 900000 plus a 100000 luxury prize package two Mazda cars a house full of furniture including a living room dining room bedroom complete kitchen and outdoor spa and twenty round-trip airline tickets to anywhere in America on Delta Air Lines during the 1986-1987 season
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,__25 Million Dollar Hoax_ (2004) An updated version of the popular long-running quiz show hosted by Jim Lange Two contestants compete to see who has the greater knowledge of popular songs As the music plays the first contestant to name the song wins money and prizes Additional challenges include the contestants bidding on how few notes they need in order to name that tune Two contestants competed in a series of musical identification games in this 1980s five-day-a-week update of Name That Tune Games included Melody Roulette where host Lange spun a carnival wheel to determine the dollar value of the tune Tune Topics where each songs title was related and the famous Bid-a-Note where contestants were given the clue to a song and then bid downward against each other to determine how few notes they needed I can name that tune in three notes Contestants won points for winning each round the high scorer after three rounds was champion and moved on to the Golden Medley In the Golden Medley the champion had to identify seven tunes within 30 seconds Prizes were awarded for each correct answer An incorrect guess stopped the game while naming all seven tunes won an additional prize package and the right to return for a tournament which took place every eight weeks or so for 100000 in cash and prizes Some of the prizes offered for the tournament winners were awarded individually to winners in a home- viewer contest
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,__5 Cover_ Seattle_ (2009) A three-episode reality series A woman has to convince her family that she has won the lottery and that the money has turned her from a nice girl into a selfish shopaholic If the prank is successful the family really will win a large prize If she fails her and her family get nothing
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,__9_99_ (2003) The independent music scene in Seattle is a vibrant community of talented musicians 5 Cover Seattle is a dramatic series from Humpdays Lynn Shelton that takes place over 1 weekend in the lives of 14 Seattle bands as they interact practice work perform and hang out with their friends
5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,__Allo _Allo__ (1982) Can you have fun in New York City on 999 Before you say fuhgetaboutit let 999 hosts Julie Laipply Brian McMullan Maryam Basir and Rich Collier show you inexpensive and free things to do in the five boroughs Every episode of 999 is a whirlwind tour of New York Citys unique neighborhoods Visit parks museums restaurants galleries and a whole host of interesting attractions that cost little or no money Each show reveals eight to ten adventures with a combined cost that never tops 999 Whether youre watching from new York New Jersey or Connecticut satellite or cable dont miss out on the next adventure for only 999
6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,__hack__Roots_ (2006) A mischievous boy who allows pets to escape then earns a reward for returning the animals meets Mr Rana a strange new neighbor with an affinity for frogs - so much so that the man has created a frog pond in his own bedroom Soon the neighbors are disappearing frogs are appearing and the youngster his catching flies for Mr Ranas large amphibians
7,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,__hack__SIGN_ (2002) In 2015 CC Corporations data-center caught on fire destroying The World By splicing in data from what would have been another project CC Corp was able to rebuild the game In 2016 The World R2 was released hackRoots covers the time Haseo spent with Shino and Ovan in the guild known as the Twilight Brigade before the hackGU PS2 games
8,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,__hack__Tasogare no udewa densetsu_ (2003) Despite restrictions placed upon his character Tsukasa has been logged into the game for 10 days straight and rumors fly about a player-killing monster running loose At Soras suggestion Subaru and the Knights declare Tsukasa a wanted player throughout The World
9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,_009-1_ (2006) Four years after the Twilight incident in the hack video games stability has seemingly returned to the on-line RPG The World Shugo and Rena twin siblings who are living apart from each other mysteriously acquire the player models of the hackers Kite and BlackRose respectively But invincible monsters have now made their way into the game - possibly as a result of a group of rogue players Shugo is given the Twilight Bracelet a dangerous data-altering item entrusted to the original Kite Shugo and Rena along with their newfound friends in the game including Balmung and Sanjuro two original players involved with the Twilight conflict attempt to uncover the secret of these events while also avoiding the Cerulean Knights a relentless team of system administrators
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,_1 Day with____ (2004) In an alternate reality the Cold War never ended and has continued on for 140 years As a result the world we knew was divided into two factions the West Block and the East Block As the War proceeds the tension between the two factions as well as the amount of nuclear weapons they have rise higher and higher Mylene Hoffman009-1 is a beautiful female cyborg who is a spy for the West Block With her highly developed fitness skills with a cyborg body surpassing an average woman Mylene takes action in various missions issued by her superiors
